ncols	50
nrows	50
xllcorner	200
yllcorner	100
cellsize	2
NODATA_value	-9999
   0.02118	   0.03754	   0.05860	   0.07998	   0.09480	   0.09706	   0.08548	   0.06455	   0.04172	   0.02304	   0.01086	   0.00437	   0.00150	   0.00044	   0.00011	   0.00002	   0.00001	   0.00002	   0.00014	   0.00072	   0.00316	   0.01187	   0.03792	   0.10324	   0.23954	   0.47361	   0.79797	   1.14570	   1.40182	   1.46193	   1.30039	   0.98997	   0.65636	   0.41269	   0.32878	   0.44385	   0.78556	   1.35821	   2.09912	   2.84479	   3.36067	   3.44726	   3.05969	   2.34241	   1.54258	   0.87187	   0.42218	   0.17490	   0.06193	   0.01872	   0.00483	
   0.06247	   0.10776	   0.16453	   0.22077	   0.25844	   0.26227	   0.22956	   0.17265	   0.11127	   0.06134	   0.02889	   0.01161	   0.00398	   0.00116	   0.00029	   0.00006	   0.00002	   0.00004	   0.00021	   0.00107	   0.00471	   0.01767	   0.05646	   0.15374	   0.35672	   0.70531	   1.18837	   1.70629	   2.08797	   2.17811	   1.93889	   1.47915	   0.98654	   0.62921	   0.50759	   0.66804	   1.12649	   1.85489	   2.73868	   3.55932	   4.05136	   4.02571	   3.48053	   2.60917	   1.69027	   0.94342	   0.45253	   0.18616	   0.06557	   0.01975	   0.00508	
   0.16028	   0.26846	   0.39954	   0.52519	   0.60531	   0.60739	   0.52747	   0.39457	   0.25337	   0.13933	   0.06551	   0.02630	   0.00901	   0.00263	   0.00066	   0.00014	   0.00003	   0.00005	   0.00026	   0.00136	   0.00598	   0.02243	   0.07166	   0.19511	   0.45269	   0.89508	   1.50817	   2.16573	   2.65094	   2.76738	   2.46806	   1.89227	   1.27925	   0.84285	   0.70841	   0.92533	   1.49077	   2.33388	   3.28142	   4.06897	   4.43097	   4.22907	   3.52966	   2.56852	   1.62414	   0.88930	   0.42029	   0.17096	   0.05971	   0.01787	   0.00458	
   0.35817	   0.58150	   0.84111	   1.07932	   1.22059	   1.20758	   1.03810	   0.77109	   0.49279	   0.27012	   0.12673	   0.05081	   0.01739	   0.00508	   0.00127	   0.00027	   0.00006	   0.00006	   0.00029	   0.00148	   0.00648	   0.02427	   0.07751	   0.21101	   0.48958	   0.96803	   1.63129	   2.34323	   2.87039	   3.00217	   2.69037	   2.08820	   1.45592	   1.02443	   0.92634	   1.20671	   1.84281	   2.72540	   3.63598	   4.28888	   4.44927	   4.05332	   3.23950	   2.26767	   1.38683	   0.73862	   0.34139	   0.13647	   0.04703	   0.01394	   0.00354	
   0.69699	   1.09661	   1.53842	   1.92096	   2.12397	   2.06501	   1.75257	   1.29002	   0.81927	   0.44719	   0.20921	   0.08372	   0.02863	   0.00835	   0.00208	   0.00044	   0.00009	   0.00007	   0.00029	   0.00140	   0.00603	   0.02245	   0.07154	   0.19459	   0.45135	   0.89243	   1.50429	   2.16252	   2.65436	   2.79021	   2.53173	   2.02562	   1.51296	   1.20155	   1.20349	   1.54672	   2.19106	   3.00820	   3.76925	   4.20680	   4.14267	   3.58762	   2.72977	   1.82397	   1.06908	   0.54855	   0.24568	   0.09571	   0.03232	   0.00943	   0.00237	
   1.18009	   1.80115	   2.44857	   2.96768	   3.19732	   3.04410	   2.54266	   1.85004	   1.16543	   0.63260	   0.29484	   0.11771	   0.04018	   0.01172	   0.00292	   0.00063	   0.00014	   0.00011	   0.00034	   0.00132	   0.00509	   0.01812	   0.05680	   0.15356	   0.35539	   0.70224	   1.18421	   1.70570	   2.10469	   2.24160	   2.09899	   1.80274	   1.54242	   1.46569	   1.63313	   2.03691	   2.61957	   3.25817	   3.75815	   3.91588	   3.63059	   2.97242	   2.14227	   1.35793	   0.75683	   0.37063	   0.15922	   0.05985	   0.01962	   0.00559	   0.00138	
   1.73547	   2.57524	   3.39408	   3.98718	   4.17376	   3.87770	   3.17678	   2.27813	   1.42024	   0.76536	   0.35499	   0.14128	   0.04816	   0.01405	   0.00353	   0.00080	   0.00027	   0.00035	   0.00079	   0.00192	   0.00508	   0.01448	   0.04099	   0.10630	   0.24203	   0.47537	   0.80090	   1.15831	   1.44807	   1.59354	   1.60590	   1.58825	   1.66617	   1.90652	   2.29394	   2.76473	   3.23855	   3.61454	   3.76812	   3.59614	   3.09003	   2.36370	   1.59934	   0.95441	   0.50184	   0.23245	   0.09481	   0.03400	   0.01070	   0.00294	   0.00071	
   2.21195	   3.20081	   4.09687	   4.66418	   4.73464	   4.27898	   3.42606	   2.41352	   1.48504	   0.79295	   0.36556	   0.14503	   0.04948	   0.01459	   0.00382	   0.00106	   0.00069	   0.00129	   0.00274	   0.00535	   0.00973	   0.01786	   0.03543	   0.07473	   0.15426	   0.29041	   0.48178	   0.69894	   0.89825	   1.06175	   1.23159	   1.49620	   1.92504	   2.50489	   3.13634	   3.68769	   4.04775	   4.14003	   3.92210	   3.40478	   2.67577	   1.88412	   1.18011	   0.65471	   0.32109	   0.13911	   0.05324	   0.01800	   0.00537	   0.00141	   0.00032	
   2.43739	   3.45144	   4.30190	   4.75203	   4.67439	   4.09964	   3.19737	   2.20498	   1.33509	   0.70500	   0.32308	   0.12838	   0.04461	   0.01400	   0.00440	   0.00195	   0.00219	   0.00446	   0.00936	   0.01746	   0.02855	   0.04200	   0.05879	   0.08440	   0.12909	   0.20273	   0.30637	   0.43030	   0.56869	   0.74660	   1.03345	   1.51400	   2.22116	   3.08103	   3.92359	   4.55468	   4.83024	   4.68953	   4.15863	   3.34667	   2.42423	   1.56910	   0.90276	   0.46029	   0.20773	   0.08298	   0.02936	   0.00921	   0.00256	   0.00063	   0.00014	
   2.31637	   3.22116	   3.92267	   4.21408	   4.01932	   3.41658	   2.58861	   1.74208	   1.03558	   0.54114	   0.24871	   0.10217	   0.03952	   0.01603	   0.00781	   0.00539	   0.00683	   0.01348	   0.02784	   0.05143	   0.08255	   0.11602	   0.14665	   0.17485	   0.20819	   0.25529	   0.31753	   0.39108	   0.48581	   0.64978	   0.97200	   1.54186	   2.37764	   3.37499	   4.32519	   4.99700	   5.22361	   4.94944	   4.23932	   3.26159	   2.23695	   1.35871	   0.72769	   0.34298	   0.14227	   0.05202	   0.01681	   0.00481	   0.00122	   0.00028	   0.00006	
